Name,Pitch_R1_Deg,Roll_R2_Deg,Yaw_R3_Deg,Horz_Off_Meters,Vert_Off_Meters
FS1_CH02:CAV4_D2152,-0.0156,-0.0285,0.0065,-0.000023,0.000034
FS1_CSS:DH_D2163,-0.0235,0.0054,-0.0301,0.00001,-0.000003
FS1_CSS:DH_D2169,-0.0121,-0.0006,0.0074,-0.000158,-0.000124
FS1_CSS:DH_D2174,-0.0131,-0.0526,-0.005,-0.000014,0.000208
FS1_CSS:DH_D2180,-0.0028,-0.0029,-0.009,-0.000076,-0.000064
FS1_CSS:DC_D2189,0.0126,0.0195,-0.2791,0.000119,0.000146
FS1_CSS:QH_D2194,-0.0166,-0.0037,0.0116,0.000056,-0.000046
FS1_CSS:QV_D2202,0.02,-0.0175,-0.0156,0.000046,0.000052
FS1_CSS:DC_D2210,0.061,-0.0088,0.0023,-0.000113,0.000129
FS1_CSS:QH_D2215,-0.013,0.0113,0.0302,-0.000133,-0.000183
FS1_CSS:QV_D2220,-0.0108,-0.0192,-0.0055,0.000063,0.000051
FS1_STRL:STRIP_D2237,-0.0013,0.0008,0.0014,-0.000055,-0.000013
FS1_CSS:STRIP_D2249,-0.0058,-0.0248,-0.0233,-0.000393,-0.000146
FS1_CSS:QV_D2254,0.017,0.0177,-0.0211,-0.000066,-0.000096
FS1_CSS:DC_D2257,0.0112,-0.0027,-0.0376,-0.000087,0.000001
FS1_CSS:QH_D2260,0.0017,0.0317,-0.0299,-0.000184,0.000025
FS1_CSS:QV_D2272,0.0211,-0.0016,-0.0017,0.000052,0.000158
FS1_CSS:DC_D2276,0.018,0.0048,-0.0112,0.000078,0.00013
FS1_CSS:QH_D2280,-0.0372,0.0135,-0.0195,-0.000109,0.000036
FS1_CSS:CLLM_D2287,-0.1263,-0.1523,-0.1173,-0.000496,-0.000046
FS1_CSS:CLLM_D2316,0.4591,0.2422,-0.87,0.000101,-0.000264
FS1_MGB01:CAV_D2320,-0.0007,0.0071,-0.0048,-0.000103,-0.000036
FS1_CSS:CLLM_D2344,0.0364,0.175,0.1284,-0.000175,0.000094
FS1_CSS:DC_D2351,0.0142,-0.0141,-0.0549,-0.000167,-0.000046
FS1_CSS:QH_D2356,0.0385,-0.0076,0.0025,-0.00004,-0.000003
FS1_CSS:CLLM_D2359,-0.1082,0.8836,-0.1662,-0.001039,-0.000083
FS1_CSS:QH_D2362,-0.0103,0.0118,-0.0002,-0.000155,-0.000037
FS1_CSS:DC_D2367,0.038,0.0068,-0.0076,-0.000009,-0.000038
FS1_CSS:QV_D2372,-0.0013,-0.0101,0.0353,0.00008,0.000082
FS1_CSS:QH_D2377,0.0222,-0.0069,-0.017,-0.000055,-0.000038
FS1_CSS:DC_D2381,0.0377,-0.003,0.0129,0.000052,-0.000069
FS1_BBS:DH_D2394,0.0004,0.0106,0.0043,-0.000011,-0.000056
FS1_BTS:Q_D2409,-0.0099,-0.0041,0.019,-0.000032,-0.000088
FS1_BBS:DC_D2412,-0.062,0.0227,-0.0124,-0.000164,-0.000164
FS1_BTS:Q_D2413,-0.0115,-0.0015,0.0012,-0.000027,0.000026
FS1_BBS:QH_D2416,-0.0029,-0.0194,0.0194,-0.000014,-0.000102
FS1_BBS:S_D2419,0,-0.0235,0.0017,0.00003,-0.000113
FS1_BTS:Q_D2421,0.0056,-0.035,0.0228,0.000085,0.000074
FS1_BBS:QV_D2424,-0.0148,0.0253,0.0197,-0.000193,-0.000128
FS1_BBS:DH_D2435,-0.0058,-0.0055,-0.0118,-0.000051,-0.000168
FS1_BTS:Q_D2445,-0.0132,0.0089,-0.0011,0.000041,-0.000012
FS1_BBS:DH_D2453,0.004,0.0003,0.0091,0.000143,0.000003
FS1_BTS:Q_D2453,-0.0084,0.0045,0.0114,-0.00008,-0.000021
FS1_BBS:DH_D2494,0.0046,0.0053,-0.0091,0.000193,0.000008
FS1_BBS:DH_D2453,0.0035,-0.0075,0.001,0.000037,0.000023
FS1_BMS:CLLM_D2460,-0.0168,0.2837,-0.0019,-0.000795,-0.000355
FS1_BBS:QV_D2463,0.0042,-0.007,0.0226,0.000019,-0.000026
FS1_BBS:S_D2469,-0.0252,0.0032,0.0052,-0.00004,-0.000021
FS1_BBS:QH_D2472,-0.0065,0.0059,-0.0119,-0.000013,-0.00003
FS1_BBS:DC_D2476,0.0018,0.0012,0.0009,0.000022,0.000031
FS1_BBS:DH_D2494,0.0041,-0.0099,0.001,0.000028,0.00004
FS1_BMS:CLLM_D2505,-0.1302,-0.0332,0.1111,0.0001,0.000171
FS1_BMS:DC_D2507,-0.007,-0.0039,-0.0011,-0.000024,-0.000114
FS1_BMS:QV_D2511,0.0003,-0.0016,-0.0149,0.000053,-0.000018
FS1_BMS:QH_D2515,-0.011,0.0031,0.0136,0.000005,0.000017
FS1_BMS:DC_D2534,0.0033,0.0031,-0.038,0.000047,-0.000041
FS1_BMS:QV_D2539,0.0175,0.0132,-0.016,-0.000013,-0.000026
FS1_BMS:QH_D2563,-0.0059,-0.0012,0.0149,-0.000016,-0.000004
FS1_BMS:DC_D2584,-0.0029,0.0083,-0.0117,0.000114,0.000123
FS1_BMS:QV_D2590,0.0005,0.0071,-0.0089,-0.000013,-0.000062
FS1_BMS:QH_D2597,0.0088,-0.004,-0.0196,0.000016,-0.000002
FS1_MGB02:CAV_D2606,-0.0107,0.0114,-0.0088,-0.000226,-0.000127
FS1_BMS:DC_D2640,0.0032,-0.0048,-0.0284,-0.000024,-0.000139
FS1_BMS:QH_D2645,-0.0064,0.0018,0.0025,0.000001,-0.00004
FS1_BMS:QV_D2654,-0.0066,0.0073,0.0088,-0.000023,-0.000045
FS1_BMS:DC_D2662,-0.0232,0.009,0.06,0.000103,-0.000034
FS1_BMS:QH_D2666,0.0069,0.0101,-0.011,-0.000042,-0.000054
FS1_BMS:QH_D2679,-0.0001,0.0081,0.0001,-0.000028,-0.000031
FS1_BMS:DC_D2688,-0.0038,-0.0022,0.0056,-0.000038,-0.000021
FS1_BMS:QV_D2693,0.0157,-0.0086,-0.0221,0.000019,-0.000037
FS1_BMS:QH_D2698,-0.0035,0.0022,0.0023,0.000033,-0.000005
LS2_CC01:CAV1_D2706,0.0221,-0.1288,0.0233,0.000403,0.000412
LS2_CC01:CAV2_D2711,0.0196,-0.1166,0.0213,0.000046,0.000147
LS2_CC01:CAV3_D2715,0.0323,-0.109,0.0236,-0.000019,0.00001
LS2_CC01:SOL1_D2723,0.0001,0.0002,-0.0002,-0.000017,-0.000003
LS2_CC01:CAV4_D2726,0.0115,-0.0842,-0.0051,-0.000319,-0.000174
LS2_CC01:CAV5_D2730,0.0033,-0.0788,0.0319,-0.000553,-0.000168
LS2_CC01:CAV6_D2735,-0.011,-0.0731,-0.0035,-0.000452,-0.000228
LS2_CC02:CAV1_D2746,-0.0338,-0.0434,0.0498,0.000849,-0.000707
LS2_CC02:CAV2_D2750,-0.0192,-0.0455,0.0131,0.000531,-0.00048
LS2_CC02:CAV3_D2755,-0.0223,-0.048,0.0329,0.000088,-0.000274
LS2_CC02:SOL1_D2762,0.0004,0.0073,-0.0002,0.00011,-0.000038
LS2_CC02:CAV4_D2766,-0.0292,-0.0491,0.0203,0.000132,0.00017
LS2_CC02:CAV5_D2770,-0.0263,-0.0533,0.0073,0.000023,0.000369
LS2_CC02:CAV6_D2774,-0.0405,-0.0545,-0.0161,0.000119,0.000532
LS2_CC03:CAV1_D2786,0.0118,-0.147,0.028,-0.000322,-0.000012
LS2_CC03:CAV2_D2790,0.008,-0.1263,0.0068,-0.000349,0.000052
LS2_CC03:CAV3_D2794,0.0016,-0.1039,-0.0027,-0.000369,-0.000051
LS2_CC03:SOL1_D2802,-0.0004,0.0011,0.0005,0.000011,0.000006
LS2_CC03:CAV4_D2806,0.0076,-0.0456,0.0173,0.000317,-0.000118
LS2_CC03:CAV5_D2810,0.0099,-0.0259,0.0032,0.000756,-0.000319
LS2_CC03:CAV6_D2814,0.0104,-0.0059,-0.0096,0.000428,-0.000404
LS2_CC04:CAV1_D2825,0.0068,0.0303,0.0292,0.000209,0.000364
LS2_CC04:CAV2_D2830,0.0299,0.0296,0.053,-0.00012,0.000361
LS2_CC04:CAV3_D2834,0.0022,0.0298,0.0269,-0.000293,0.00026
